,x0_test,x1_test,x2_test,y0_test,y1_test,y2_test
0,-0.9457016323377628,0.8625630272970808,-1.333681789194281,-0.09864328454269394,-1.3848843330163638,0.2159785062644806
1,-0.9387734152510392,0.8694912443838043,-1.3267535721075576,-0.07654430151508197,-1.3726932523972746,0.256700642822827
2,-0.9318451981643158,0.8764194614705281,-1.319825355020834,-0.15961121949814316,-1.4792436916317306,0.641214389846128
3,-0.9249169810775921,0.8833476785572515,-1.3128971379341103,-0.2304559863067433,-1.4846597843806668,1.0144634780265611
4,-0.9179887639908687,0.890275895643975,-1.3059689208473868,-0.27105613822813535,-1.2893688736400224,1.1350117328093277
5,-0.9110605469041452,0.8972041127306984,-1.2990407037606633,-0.0451368001190649,-1.5491310589854348,1.5487188956259204
6,-0.9041323298174216,0.9041323298174222,-1.29211248667394,-0.09513189242650538,-1.3068601077969972,1.5058367918536448
7,-0.8972041127306981,0.9110605469041457,-1.2851842695872162,-0.26144997395601477,-1.260343651880485,1.7688836000645032
8,-0.8902758956439745,0.9179887639908691,-1.2782560525004927,-0.15563204408037765,-1.4304261712796469,1.53816317153816
9,-0.8833476785572509,0.9249169810775929,-1.2713278354137691,0.01727592703300726,-1.1421332044553651,1.2991448815345443
10,-0.8764194614705274,0.9318451981643164,-1.2643996183270458,-0.39341299869754154,-1.2603588617639803,1.3224311545969936
11,-0.8694912443838038,0.9387734152510399,-1.257471401240322,-0.03572102592903398,-1.1288552628329724,1.0233912773900564
12,-0.8625630272970803,0.9457016323377633,-1.2505431841535986,-0.19438528491235116,-1.2131729980102715,0.913892263712613
13,-0.8556348102103569,0.9526298494244871,-1.243614967066875,-0.48262209864737926,-1.45532972618623,0.6665620168354482
14,-0.8487065931236333,0.9595580665112106,-1.2366867499801515,-0.46011279153956014,-1.2452421200721902,0.48494296339234283
15,-0.8417783760369097,0.966486283597934,-1.2297585328934277,-0.3371778339843152,-1.3781312531424308,0.16023316794982592
16,-0.8348501589501862,0.9734145006846575,-1.2228303158067044,-0.45819536284655593,-1.0721146648663624,0.019819257028031077
17,-0.8279219418634627,0.9803427177713813,-1.215902098719981,-0.4000503206844763,-1.0313717990460824,-0.25609560221077987
18,-0.820993724776739,0.9872709348581047,-1.2089738816332571,-0.43843966827242614,-1.2048001175516976,-0.8618573685329856
19,-0.8140655076900156,0.9941991519448282,-1.2020456645465336,-0.4461618249555278,-1.1342592481139169,-1.1309063847742793
20,-0.807137290603292,1.0011273690315516,-1.19511744745981,-0.2864789926206547,-1.163825569270545,-1.4138320420307922
21,-0.8002090735165686,1.0080555861182754,-1.1881892303730868,-0.4021725371338618,-0.9699750663668262,-1.3552922810805996
22,-0.7932808564298449,1.014983803204999,-1.1812610132863632,-0.40846217369750437,-0.9235548022904704,-1.7407936897005651
23,-0.7863526393431215,1.0219120202917225,-1.1743327961996397,-0.31938344154450093,-0.8984393665968284,-1.4471470774150106
24,-0.7794244222563979,1.0288402373784462,-1.167404579112916,-0.5975060956359898,-0.9114234726523173,-1.3190994509872533
25,-0.7724962051696744,1.0357684544651695,-1.1604763620261924,-0.34105797992537745,-0.9694402036905435,-1.1392774865512885
