,x_test,y_test
0,-1.3544664404544513,-0.5206392039892068
1,-1.347538223367728,-0.4961302058399552
2,-1.3406100062810042,-0.5164273583537748
3,-1.333681789194281,-0.3351637030785831
4,-1.3267535721075574,-0.21659119463745957
5,-1.3198253550208336,-0.03693057447377669
6,-1.3128971379341101,-0.3006341331843836
7,-1.3059689208473866,0.24250731132746867
8,-1.299040703760663,0.2433757512114868
9,-1.2921124866739397,0.45201695374709217
10,-1.285184269587216,0.6916562126092607
11,-1.2782560525004925,0.819152032571458
12,-1.2713278354137687,0.874354020407922
13,-1.2643996183270454,1.0994930087614871
14,-1.2574714012403219,1.3150861682445647
15,-1.2505431841535983,1.3165498873525752
16,-1.2436149670668748,1.2086867822871499
17,-1.2366867499801513,1.1817189103123056
18,-1.2297585328934275,1.2503121528489582
19,-1.2228303158067042,1.080142620432001
20,-1.2159020987199807,0.9355435605446432
21,-1.2089738816332571,0.7542569037468506
22,-1.2020456645465336,0.8100258101691681
23,-1.1951174474598099,0.8120937641423943
24,-1.1881892303730865,0.6811754843621436
25,-1.181261013286363,0.6581084823901588
26,-1.1743327961996395,0.4255755240148783
27,-1.167404579112916,0.7003659136413334
28,-1.1604763620261924,0.811398843628841
29,-1.1535481449394687,1.0028916748033447
30,-1.1466199278527451,0.9319630943347186
31,-1.1396917107660216,1.1095495739112813
32,-1.132763493679298,1.3296492420877837
33,-1.1258352765925748,1.439740701637746
34,-1.118907059505851,1.6747346763752446
35,-1.1119788424191275,1.7358537728985737
36,-1.105050625332404,1.7570085292216222
37,-1.0981224082456804,1.818877232654688
38,-1.0911941911589569,1.4722763429078165
39,-1.0842659740722334,1.4651993486388635
40,-1.7147337289640756,0.2860077432777304
41,-1.6731644264437342,1.0977584502667572
42,-1.631595123923393,1.1550494625648224
43,-1.6246669068366695,0.9072836807500251
44,-1.6108104726632224,0.5334286124431351
45,-1.5969540384897751,0.15255237190636511
46,-1.5900258214030518,-0.01907347438525135
47,-1.5900258214030518,-0.01907347438525135
48,-1.5900258214030518,-0.01907347438525135
49,-1.583097604316328,-0.39116687350245566
50,-1.5761693872296048,-0.6828916181238034
51,-1.5761693872296048,-0.6828916181238034
52,-1.5761693872296048,-0.6828916181238034
53,-1.5692411701428812,-1.0452592091975272
54,-1.5623129530561575,-1.0999455468901735
55,-1.555384735969434,-1.4568660398410516
56,-1.555384735969434,-1.4568660398410516
57,-1.5484565188827106,-1.371761250264588
58,-1.5484565188827106,-1.371761250264588
59,-1.5415283017959869,-1.414458394747335
60,-1.5276718676225398,-1.0354430167128967
61,-1.5207436505358163,-0.813224362061412
62,-1.5207436505358163,-0.813224362061412
63,-1.5068872163623692,-0.6881034942843374
64,-1.5068872163623692,-0.6881034942843374
65,-1.4722461309287513,-0.35636442504175425
66,-1.465317913842028,-0.4699610897549073
67,-1.4583896967553045,-0.36770071287488915
68,-1.4306768284084102,-0.511750620054854
69,-1.4306768284084102,-0.511750620054854
70,-1.4237486113216868,-0.7388483068799666
71,-1.4237486113216868,-0.7388483068799666
72,-1.416820394234963,-0.768578442162134
73,-1.4098921771482398,-0.8177306197640594
74,-1.4098921771482398,-0.8177306197640594
75,-1.3821793088013457,-0.8544013091972841
76,-1.375251091714622,-0.9095500281375511
77,-1.0704095398987863,1.3940961491063961
78,-1.0426966715518922,1.3707011172818033
79,-1.001127369031551,1.5155051448685395
80,-0.9664862835979332,1.4999422187172662
81,-0.9595580665112097,1.3266126112708527
82,-0.9526298494244861,1.3675321241512453
83,-0.9526298494244861,1.3675321241512453
84,-0.9179887639908684,1.088173150025981
85,-0.911060546904145,0.9062584230634608
86,-0.8972041127306979,0.8460855805830392
87,-0.8972041127306979,0.8460855805830392
88,-0.8972041127306979,0.8460855805830392
89,-0.8833476785572507,0.8090574940370763
90,-0.8833476785572507,0.8090574940370763
